claim_id,manuscript_section,manuscript_claim,canonical_source_path,canonical_source_field_or_row,exact_committed_value,source_sha256,limitation_present,status
CTM-011,Abstract; 4 Data and Sample; 10 Final Test Results,The Final Test contained 346 evaluable company-year rows.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row final_test_evaluable_rows,346,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-012,Abstract; 4; 10 Final Test Results; 13 Limitations,Only 12 positive observations were present in the Final Test.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,C8 committed value,12 positive,7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-013,4 Data and Sample; 10 Final Test Results,The Final Test contained 334 negative observations.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row final_test_negative,334,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-014,Abstract; 4 Data and Sample; 10 Final Test Results,The Final Test spans 119 unique companies.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row final_test_unique_tickers,119,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-015,Abstract; 10.1 Primary metric; 13 Limitations,"Final Test prevalence, reported separately from discrimination.",project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,C1 Final Test prevalence,0.03468208092485549,7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-016,4 Data and Sample,The Final Test cohort comprises 346 pairs.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row final_test_cohort_pairs,346,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-017,5 Target Construction,Composite criterion: accumulated loss to registered capital at or above one half is positive.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_8_outcome_definition.csv,row fd_accumulated_loss,1 if accumulated_loss/registered_capital >= 0.5; 0 if < 0.5; missing if registered_capital <=0/missing OR accumulated_loss missing.,b2cd6082e2feebfc5f528df218c05e770b92c3f39192bcb9b833137d614b0a08,no,TRACED_EXACT_COMMITTED_VALUE
CTM-018,5 Target Construction,Composite criterion: negative equity.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_8_outcome_definition.csv,row fd_negative_equity,1 if equity<0; 0 if equity>=0; missing if equity missing.,b2cd6082e2feebfc5f528df218c05e770b92c3f39192bcb9b833137d614b0a08,no,TRACED_EXACT_COMMITTED_VALUE
CTM-019,5 Target Construction,Composite criterion: negative operating cash flow combined with leverage above 0.70.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_8_outcome_definition.csv,row fd_ocf_high_leverage,1 if OCF<0 AND liabilities/assets>0.70; definite 0 if OCF>=0 OR leverage<=0.70; missing otherwise (three-valued).,b2cd6082e2feebfc5f528df218c05e770b92c3f39192bcb9b833137d614b0a08,no,TRACED_EXACT_COMMITTED_VALUE
CTM-020,5 Target Construction,Direct Article-141 evidence is unobserved for every row in the panel.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_8_outcome_definition.csv,row fd_article141_direct,Stage121 has NO such source -> missing for ALL rows.,b2cd6082e2feebfc5f528df218c05e770b92c3f39192bcb9b833137d614b0a08,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-021,5 Target Construction,The composite aggregates by a modified three-valued OR and is not an Article-141 target.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_8_outcome_definition.csv,row FD_target_main,modified three-valued OR with non-blocking unavailable direct Article-141 evidence. 1 if any criterion definitely 1; 0 if all evaluable quantitative criteria definitely 0; missing otherwise. NOT an Article-141 target.,b2cd6082e2feebfc5f528df218c05e770b92c3f39192bcb9b833137d614b0a08,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-022,5 Target Construction,Missing target evidence is never counted as negative.,project/stage125/part4_statistical_analysis_plan_stage125.json,target_state_contract.missing_never_counted_as_negative,true,8763bc094561ce63da2f9f621b8278a1c9836c8cbc2aeaace934e439d6e79d6e,no,TRACED_TO_FROZEN_STATISTICAL_ANALYSIS_PLAN
CTM-023,5 Target Construction,The primary target is FD_target_main_t_plus_1 on the main_rule_a_primary sample.,project/stage125/part4_statistical_analysis_plan_stage125.json,primary_target / primary_sample,FD_target_main_t_plus_1 / main_rule_a_primary,8763bc094561ce63da2f9f621b8278a1c9836c8cbc2aeaace934e439d6e79d6e,no,TRACED_TO_FROZEN_STATISTICAL_ANALYSIS_PLAN
CTM-024,6 Predictor Architecture; 11 Model Interpretation,The nine financial features in locked order.,project/stage125/part4_statistical_analysis_plan_stage125.json,m1_primary_feature_order,"[""log_total_assets"", ""leverage_ratio"", ""current_ratio"", ""roa_period_adjusted"", ""ocf_to_assets_period_adjusted"", ""asset_turnover_period_adjusted"", ""operating_margin_period_adjusted"", ""financial_expense_to_assets_period_adjusted"", ""accumulated_loss_to_capital_ratio""]",8763bc094561ce63da2f9f621b8278a1c9836c8cbc2aeaace934e439d6e79d6e,no,TRACED_TO_FROZEN_STATISTICAL_ANALYSIS_PLAN
CTM-025,6 Predictor Architecture,Revenue growth was excluded before modelling on a fold-1 training coverage gate.,project/stage125/part4_statistical_analysis_plan_stage125.json,revenue_growth_period_adjusted_status.rejection_reason,minimum_fold_training_coverage_below_locked_threshold; Fold_1_training_coverage_148/245=0.6040816327; passed_overall_development_coverage_0.8483483483_but_failed_minimum_fold_training_threshold_0.75,8763bc094561ce63da2f9f621b8278a1c9836c8cbc2aeaace934e439d6e79d6e,yes,TRACED_TO_FROZEN_STATISTICAL_ANALYSIS_PLAN
CTM-026,3 Institutional Context; 6 Predictor Architecture; 13 Limitations,The active availability method is a fixed regulatory lag of four Jalali months.,project/stage125/part4_statistical_analysis_plan_stage125.json,active_availability_method / active_availability_lag_months,fixed_regulatory_lag / 4,8763bc094561ce63da2f9f621b8278a1c9836c8cbc2aeaace934e439d6e79d6e,yes,TRACED_TO_FROZEN_STATISTICAL_ANALYSIS_PLAN
CTM-027,6 Predictor Architecture,Prediction aligns predictor year t to target year t+1.,project/stage125/part4_statistical_analysis_plan_stage125.json,prediction_alignment,predictor_year_t_to_target_year_t_plus_1,8763bc094561ce63da2f9f621b8278a1c9836c8cbc2aeaace934e439d6e79d6e,no,TRACED_TO_FROZEN_STATISTICAL_ANALYSIS_PLAN
CTM-028,6 Predictor Architecture,The design matrix has 18 columns matching the locked model exactly and in order.,project/stage129/final_test_execution/stage129_final_test_qc_report.json,controls[FT06].detail,design matrix 18 columns equal the accepted model's design_matrix_columns exactly and in order,016eaa19149a9247574e13931e9aae4a10fede26316a63f1321a6643c96ad9f5,no,TRACED_TO_FINAL_TEST_QC_CONTROL
CTM-029,6 Predictor Architecture,Preprocessing parameters were taken verbatim from the development artifact; nothing was re-estimated on Final Test rows.,project/stage129/final_test_execution/stage129_final_test_qc_report.json,controls[FT07].detail,"clipping bounds, medians and standardization mean/std taken verbatim from the PR #90 preprocessing artifact; nothing re-estimated on Final Test rows",016eaa19149a9247574e13931e9aae4a10fede26316a63f1321a6643c96ad9f5,no,TRACED_TO_FINAL_TEST_QC_CONTROL
CTM-030,6 Predictor Architecture,"Missingness indicators are each row's own pre-imputation NaN positions, unstandardised binary.",project/stage129/final_test_execution/stage129_final_test_qc_report.json,controls[FT08].detail,"missingness indicators equal each row's own pre-imputation NaN positions, unstandardized binary 0/1, never inferred from the imputed matrix",016eaa19149a9247574e13931e9aae4a10fede26316a63f1321a6643c96ad9f5,no,TRACED_TO_FINAL_TEST_QC_CONTROL
CTM-031,7 Empirical Design; 10 Final Test Results; 15 Reproducibility,The Final Test was opened exactly once.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,C9 permissible wording,the Final Test was opened exactly once,7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,no,TRACED_EXACT_COMMITTED_VALUE
CTM-032,7 Empirical Design; 10.3 Operating point,The threshold rule is the development-OOF F2-maximising threshold.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_3_operating_point_confusion_matrix.csv,row threshold_rule,development_OOF_F2_maximizing_threshold,80acdc7f1fb28a36de12e8bf0e8a3f5d98f45160e8ddb04fa953fcc32fa10767,no,TRACED_EXACT_COMMITTED_VALUE
CTM-033,7 Empirical Design,The threshold tie-break is the higher threshold.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_3_operating_point_confusion_matrix.csv,row threshold_tie_break,higher_threshold,80acdc7f1fb28a36de12e8bf0e8a3f5d98f45160e8ddb04fa953fcc32fa10767,no,TRACED_EXACT_COMMITTED_VALUE
CTM-034,Abstract; 7 Empirical Design; 10.3 Operating point,The threshold was derived from pooled development out-of-fold predictions only.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_3_operating_point_confusion_matrix.csv,row threshold_derived_from,pooled_development_oof_only,80acdc7f1fb28a36de12e8bf0e8a3f5d98f45160e8ddb04fa953fcc32fa10767,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-035,7 Empirical Design,"SMOTE is an in-training-fold robustness check only, separated from class weighting.",project/stage125/part4_statistical_analysis_plan_stage125.json,contract_version_history.v2_changes,separates_SMOTE_from_class_weighting,8763bc094561ce63da2f9f621b8278a1c9836c8cbc2aeaace934e439d6e79d6e,no,TRACED_TO_FROZEN_STATISTICAL_ANALYSIS_PLAN
CTM-036,7 Empirical Design,Uncertainty uses a paired bootstrap clustered on ticker with percentile 95 intervals.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,C1 committed value wording,95% cluster-bootstrap interval,7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,no,TRACED_EXACT_COMMITTED_VALUE
CTM-037,7 Empirical Design,No estimator was trained during the Final Test pass.,project/stage129/final_test_execution/stage129_final_test_qc_report.json,controls[FT09].detail,"model_fits_executed == 0; reconstructed from the pinned intercept and 18 coefficients, no estimator was trained",016eaa19149a9247574e13931e9aae4a10fede26316a63f1321a6643c96ad9f5,no,TRACED_TO_FINAL_TEST_QC_CONTROL
CTM-038,7 Empirical Design,"No hyperparameter, feature or threshold search was executed during the Final Test pass.",project/stage129/final_test_execution/stage129_final_test_qc_report.json,controls[FT15].detail,"no hyperparameter search, grid expansion, early stopping, feature search or threshold search executed",016eaa19149a9247574e13931e9aae4a10fede26316a63f1321a6643c96ad9f5,no,TRACED_TO_FINAL_TEST_QC_CONTROL
CTM-039,7 Empirical Design; 10.2 Secondary metrics,No recalibration and no isotonic fitting were executed; probabilities are raw.,project/stage129/final_test_execution/stage129_final_test_qc_report.json,controls[FT12].detail,recalibration_executions == 0 and isotonic_executions == 0; reported probabilities are the raw pipeline probabilities,016eaa19149a9247574e13931e9aae4a10fede26316a63f1321a6643c96ad9f5,yes,TRACED_TO_FINAL_TEST_QC_CONTROL
CTM-040,7 Empirical Design,The evaluation cohort contained zero development rows.,project/stage129/final_test_execution/stage129_final_test_qc_report.json,controls[FT05].detail,"cohort of 346 pairs, target years [1400, 1401, 1402]; zero development rows",016eaa19149a9247574e13931e9aae4a10fede26316a63f1321a6643c96ad9f5,no,TRACED_TO_FINAL_TEST_QC_CONTROL
CTM-041,8 Development and Robustness,Observed primary development ordering.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_5_robustness_and_block_dispositions.csv,row primary_development_ordering,regularized_logistic_regression > random_forest > xgboost,9b2a48dfca187a4bcab51007f300dfdd68dd75ba67175cb1bd1c1b7fdd839074,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-042,8 Development and Robustness,The observed ordering was preserved in robustness categories 2 through 6; category 1 is the sole exception.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,C6 mandatory accompanying limitation,the primary ordering was preserved in Parts 2-6 and not in Part 1,7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,yes,TRACED_TO_CLAIM_FREEZE_C6_WHICH_OVERRIDES_TABLE_5_ordering_preserved_in_parts
CTM-043,8 Development and Robustness,The six robustness categories in registered order.,project/stage126/stage126_m1_robustness_closure_synthesis_record.json,registered_categories_in_order,"[""m1_target_proximity_six_feature_set"", ""main_rule_b_listing_robustness"", ""expanded_rule_a_company_scope_robustness"", ""expanded_rule_b_combined_robustness"", ""persistent_loss_robustness_target"", ""smote_training_fold_only_robustness""]",fdf8c585e6f4c38a066feec6f90094a2b6d50867ffac290195f40b9ce616846a,yes,TRACED_TO_PINNED_ROBUSTNESS_CLOSURE_RECORD
CTM-044,8 Development and Robustness,Robustness evidence class is synthesis only.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_5_robustness_and_block_dispositions.csv,row robustness_evidence_class,synthesis_only,9b2a48dfca187a4bcab51007f300dfdd68dd75ba67175cb1bd1c1b7fdd839074,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-045,8 Development and Robustness,No retained design was selected on the robustness evidence.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_5_robustness_and_block_dispositions.csv,row retained_design_selected,false,9b2a48dfca187a4bcab51007f300dfdd68dd75ba67175cb1bd1c1b7fdd839074,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-046,8 Development and Robustness,No paper winner was selected by the robustness closure.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_5_robustness_and_block_dispositions.csv,row paper_winner_selected_by_robustness_closure,false,9b2a48dfca187a4bcab51007f300dfdd68dd75ba67175cb1bd1c1b7fdd839074,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-047,8 Development and Robustness; 11 Model Interpretation,The locked model is regularized logistic regression with an L2 penalty at C = 0.1.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,C7 mandatory accompanying limitation,"coefficients are penalized (L2, C = 0.1)",7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-048,9 Incremental Blocks,The market block is defined on three market features.,project/stage125/part4_statistical_analysis_plan_stage125.json,m2_block,"[""equity_return_window"", ""realized_volatility"", ""amihud_illiquidity""]",8763bc094561ce63da2f9f621b8278a1c9836c8cbc2aeaace934e439d6e79d6e,no,TRACED_TO_FROZEN_STATISTICAL_ANALYSIS_PLAN
CTM-049,9 Incremental Blocks,The M2 development evidence is approximately null and is preserved and reported as such.,project/stage128/m2_retained_block_human_decision/stage128_m2_retained_block_human_decision.json,approximately_null_m2_development_result_preserved_and_reported,true,9d486d2ab52a966560f91d2cefbe48ca3299c0252872e4619cdddb13a3cb84ec,yes,TRACED_TO_HUMAN_DECISION_RECORD
CTM-050,9 Incremental Blocks,M2 was retained as the intermediate confirmatory block.,project/stage128/m2_retained_block_human_decision/stage128_m2_retained_block_human_decision.json,decision_outcome,RETAIN_M2_AS_INTERMEDIATE_CONFIRMATORY_BLOCK,9d486d2ab52a966560f91d2cefbe48ca3299c0252872e4619cdddb13a3cb84ec,yes,TRACED_TO_HUMAN_DECISION_RECORD
CTM-051,9 Incremental Blocks,"M2 retention rests on architecture preservation, not on observed predictive superiority.",project/stage128/m2_retained_block_human_decision/stage128_m2_retained_block_human_decision.json,m2_retention_basis,preregistered_nested_confirmatory_architecture_preservation_not_observed_predictive_superiority,9d486d2ab52a966560f91d2cefbe48ca3299c0252872e4619cdddb13a3cb84ec,yes,TRACED_TO_HUMAN_DECISION_RECORD
CTM-052,9 Incremental Blocks; 12 Discussion,No M2 predictive superiority claim is supported.,project/stage128/m2_retained_block_human_decision/stage128_m2_retained_block_human_decision.json,m2_predictive_superiority_claim_supported,false,9d486d2ab52a966560f91d2cefbe48ca3299c0252872e4619cdddb13a3cb84ec,yes,TRACED_TO_HUMAN_DECISION_RECORD
CTM-053,9 Incremental Blocks,The confirmatory macroeconomic block is defined on three macro features.,project/stage125/part4_statistical_analysis_plan_stage125.json,m3_block,"[""cpi_inflation"", ""fx_change_official"", ""policy_financing_rate""]",8763bc094561ce63da2f9f621b8278a1c9836c8cbc2aeaace934e439d6e79d6e,no,TRACED_TO_FROZEN_STATISTICAL_ANALYSIS_PLAN
CTM-054,9 Incremental Blocks,The M3-CBI comparison was not executed.,project/stage129/m3_cbi_human_discontinuation_and_reporting/stage129_m3_cbi_confirmatory_comparison_record.json,comparison_status,NOT_EXECUTED_M3_CBI_DISCONTINUED,7980ac4d9af68a8088e10b530b8740b186c00c4992be7803471a8b3cd03e58d0,yes,TRACED_TO_COMPARISON_RECORD
CTM-055,9 Incremental Blocks,No p-value was computed for the M3-CBI comparison.,project/stage129/m3_cbi_human_discontinuation_and_reporting/stage129_m3_cbi_confirmatory_comparison_record.json,comparison_p_value,null,7980ac4d9af68a8088e10b530b8740b186c00c4992be7803471a8b3cd03e58d0,yes,TRACED_TO_COMPARISON_RECORD
CTM-056,9 Incremental Blocks,No inferential conclusion is drawn for M3-CBI.,project/stage129/m3_cbi_human_discontinuation_and_reporting/stage129_m3_cbi_confirmatory_comparison_record.json,comparison_inferential_conclusion,none,7980ac4d9af68a8088e10b530b8740b186c00c4992be7803471a8b3cd03e58d0,yes,TRACED_TO_COMPARISON_RECORD
CTM-057,9 Incremental Blocks; 12 Discussion,M3-CBI reporting text as approved.,project/stage129/m3_cbi_human_discontinuation_and_reporting/stage129_m3_cbi_human_discontinuation_decision.json,approved_manuscript_text_en,"M3-CBI was prespecified, but its executed Data Gate remained unresolved because point-in-time availability could not be established. The block was therefore not admitted to modeling. Consequently, the M3-CBI-M2 comparison was not executed, no p-value was computed, and no inferential conclusion is drawn for M3-CBI.",3c18babd3f33a2dc73dc0ad1fe2cb4076d4b4f28b7d82e9b569fc3a3504cdd0b,yes,TRACED_TO_APPROVED_REPORTING_TEXT
CTM-058,9 Incremental Blocks,The audit-and-governance candidate set has four members.,project/stage129/m4_manuscript_reporting_decision/stage129_m4_manuscript_reporting_decision.json,m4_candidate_set,"[""audit_opinion_type"", ""going_concern_flag"", ""audit_lag_days"", ""board_size""]",53509fa4d389450f7994dd0483721cf698ff842900b23a8733681243cba31d8e,no,TRACED_TO_REPORTING_DECISION_RECORD
CTM-059,9 Incremental Blocks,The formal M4 data gate was never executed.,project/stage129/m4_manuscript_reporting_decision/stage129_m4_manuscript_reporting_decision.json,formal_m4_data_gate_executed,false,53509fa4d389450f7994dd0483721cf698ff842900b23a8733681243cba31d8e,yes,TRACED_TO_REPORTING_DECISION_RECORD
CTM-060,9 Incremental Blocks; 12 Discussion,M4 reporting text as approved.,project/stage129/m4_manuscript_reporting_decision/stage129_m4_manuscript_reporting_decision.json,approved_manuscript_text_en,"M4 was prespecified but was not admitted to modeling because the available data did not provide adequate coverage and did not satisfy the frozen feature definitions. Consequently, the M4-M3-CBI comparison was not executed, no p-value was computed, and no inferential conclusion is drawn for M4.",53509fa4d389450f7994dd0483721cf698ff842900b23a8733681243cba31d8e,yes,TRACED_TO_APPROVED_REPORTING_TEXT
CTM-061,9 Incremental Blocks,The supplementary exploratory macro result is null on the primary metric.,project/stage128/m3_lag_wdi_exploratory_incremental_evaluation/stage128_m3_lag_wdi_evaluation_decision.json,e1_conclusion,E1_NULL_NO_DETECTABLE_INCREMENTAL_CONTRIBUTION,9d82c1e0217808699cb2d7521e8855bb44bb06f74da5d4b0280f55057069a705,yes,TRACED_TO_EXPLORATORY_EVALUATION_DECISION
CTM-062,9 Incremental Blocks,No exploratory family interval excludes zero.,project/stage128/m3_lag_wdi_exploratory_incremental_evaluation/stage128_m3_lag_wdi_evaluation_decision.json,e1_any_family_interval_excludes_zero,false,9d82c1e0217808699cb2d7521e8855bb44bb06f74da5d4b0280f55057069a705,yes,TRACED_TO_EXPLORATORY_EVALUATION_DECISION
CTM-063,9 Incremental Blocks,"The exploratory macro block is a supplementary exploratory robustness block, not confirmatory.",project/stage128/m3_lag_wdi_exploratory_incremental_evaluation/stage128_m3_lag_wdi_evaluation_decision.json,scientific_role / comparison_family,supplementary_exploratory_robustness_block / M3_LAG_WDI_EXPLORATORY_SUPPLEMENTARY,9d82c1e0217808699cb2d7521e8855bb44bb06f74da5d4b0280f55057069a705,yes,TRACED_TO_EXPLORATORY_EVALUATION_DECISION
CTM-064,9 Incremental Blocks,The exploratory macro block was not promoted to the confirmatory model.,project/stage128/m3_lag_wdi_exploratory_incremental_evaluation/stage128_m3_lag_wdi_evaluation_decision.json,block_promoted_to_confirmatory,false,9d82c1e0217808699cb2d7521e8855bb44bb06f74da5d4b0280f55057069a705,yes,TRACED_TO_EXPLORATORY_EVALUATION_DECISION
CTM-065,9 Incremental Blocks; 13 Limitations,The final research disposition of the exploratory macro block is supplementary exploratory only.,project/stage128/m3i2_track_a_waiting_termination_and_m3_disposition/stage128_m3i2_track_a_waiting_termination_decision.json,m3_lag_wdi_final_research_disposition,SUPPLEMENTARY_EXPLORATORY_ONLY,132fb0da2490ef3a61fc2d5364913fb09af55f378942c37d64381b0ebc89ec77,yes,TRACED_TO_TRACK_A_TERMINATION_DECISION
CTM-066,9 Incremental Blocks; 13 Limitations,Point-in-time availability of the exploratory macro indicators is unverified with currently available evidence.,project/stage128/m3i2_track_a_waiting_termination_and_m3_disposition/stage128_m3i2_track_a_waiting_termination_decision.json,point_in_time_wdi_availability_status,UNVERIFIED_WITH_CURRENTLY_AVAILABLE_EVIDENCE,132fb0da2490ef3a61fc2d5364913fb09af55f378942c37d64381b0ebc89ec77,yes,TRACED_TO_TRACK_A_TERMINATION_DECISION
CTM-067,9 Incremental Blocks; 12 Discussion,The confirmatory Holm family is incomplete and its final adjustment is deferred.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,claim freeze preamble,The Holm family is incomplete and its final adjustment is deferred.,7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-068,9 Incremental Blocks; 12 Discussion,No p-values and no Holm executions were performed; no superiority claim is made.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,claim freeze preamble,"p_values_computed = 0, holm_executions = 0, inferential_superiority_claim = false",7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-069,Abstract; 10.1 Primary metric; 14 Conclusion,PR-AUC on the held-out Final Test.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,C1 committed value,0.243879669979,7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-070,Abstract; 10.1 Primary metric; 13 Limitations,PR-AUC 95% cluster-bootstrap interval lower bound.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,C1 committed value,0.053272572767,7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-071,Abstract; 10.1 Primary metric; 13 Limitations,PR-AUC 95% cluster-bootstrap interval upper bound.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,C1 committed value,0.541675572242,7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-072,Abstract; 7; 10 Final Test Results,PR-AUC is the pre-specified primary metric.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_2_final_test_aggregate_performance.csv,row PR-AUC column role,primary,674bc56e001bf86619a2bfea8c476554b7df64a927a6491ec347d69ee5ee3020,yes,TRACED_EXACT_COMMITTED_VALUE
CTM-073,Abstract; 10.2 Secondary metrics; 14 Conclusion,ROC-AUC on the held-out Final Test.,project/stage130/manuscript_evidence_package/manuscript_claim_freeze.md,C2 committed value,0.907684630739,7789874cda328b5a6c653915555c1e7bc8eb7bce034702349b687063b5b5de64,yes,TRACED_EXACT_COMMITTED_VALUE
